imagenet-a__dinov3_vith16__paperhp__s31337	done	sp-0014	7	1	2026-07-30T20:42:57	  FINAL: avg_acc=37.2%  avg_inc_acc=54.4%  bwt=-0.163  task0=54.1%
imagenet-r__dinov3_vith16__paperhp__s1993	running	sp-0014	7	1	2026-07-30T20:42:57	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/imagenet-r__dinov3_vith16__paperhp__s1993.log
imagenet-r__dinov3_vith16__paperhp__s2024	running	sp-0010	4	1	2026-07-30T22:22:18	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/imagenet-r__dinov3_vith16__paperhp__s2024.log
omnibenchmark__dinov3_vith16__paperhp__s1993	running	sp-0010	3	1	2026-07-30T22:22:18	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/omnibenchmark__dinov3_vith16__paperhp__s1993.log
imagenet-r__dinov3_vith16__paperhp__s31337	running	sp-0010	5	1	2026-07-30T22:22:18	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/imagenet-r__dinov3_vith16__paperhp__s31337.log
omnibenchmark__dinov3_vith16__paperhp__s42	running	sp-0010	6	1	2026-07-30T22:22:18	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/omnibenchmark__dinov3_vith16__paperhp__s42.log
omnibenchmark__dinov3_vith16__paperhp__s7	running	sp-0010	0	1	2026-07-30T22:22:18	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/omnibenchmark__dinov3_vith16__paperhp__s7.log
omnibenchmark__dinov3_vith16__paperhp__s2024	running	sp-0010	7	1	2026-07-30T22:22:18	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/omnibenchmark__dinov3_vith16__paperhp__s2024.log
omnibenchmark__dinov3_vith16__paperhp__s31337	running	sp-0010	2	1	2026-07-30T22:22:18	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/omnibenchmark__dinov3_vith16__paperhp__s31337.log
vtab__dinov3_vith16__paperhp__s7	running	sp-0010	1	1	2026-07-30T22:22:18	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/vtab__dinov3_vith16__paperhp__s7.log
vtab__dinov3_vith16__paperhp__s7	done	sp-0010	1	1	2026-07-30T22:39:26	  FINAL: avg_acc=39.5%  avg_inc_acc=61.9%  bwt=-0.447  task0=27.4%
vtab__dinov3_vith16__paperhp__s42	running	sp-0010	1	1	2026-07-30T22:39:26	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/vtab__dinov3_vith16__paperhp__s42.log
cifar-100__dinov3_vith16__paperhp__s1993	done	sp-0014	4	1	2026-07-30T22:40:57	  FINAL: avg_acc=76.7%  avg_inc_acc=85.2%  bwt=-0.087  task0=92.0%
vtab__dinov3_vith16__paperhp__s1993	running	sp-0014	4	1	2026-07-30T22:40:57	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/vtab__dinov3_vith16__paperhp__s1993.log
cifar-100__dinov3_vith16__paperhp__s31337	done	sp-0014	1	1	2026-07-30T22:41:08	  FINAL: avg_acc=90.8%  avg_inc_acc=95.1%  bwt=-0.038  task0=98.0%
vtab__dinov3_vith16__paperhp__s2024	running	sp-0014	1	1	2026-07-30T22:41:08	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/vtab__dinov3_vith16__paperhp__s2024.log
cifar-100__dinov3_vith16__paperhp__s7	done	sp-0014	0	1	2026-07-30T22:41:37	  FINAL: avg_acc=88.8%  avg_inc_acc=93.1%  bwt=-0.043  task0=94.2%
vtab__dinov3_vith16__paperhp__s31337	running	sp-0014	0	1	2026-07-30T22:41:37	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/vtab__dinov3_vith16__paperhp__s31337.log
cifar-100__dinov3_vith16__paperhp__s42	done	sp-0014	3	1	2026-07-30T22:43:44	  FINAL: avg_acc=92.3%  avg_inc_acc=95.1%  bwt=-0.035  task0=98.6%
cifar-100__dinov3_vitl16__paperhp__s7	running	sp-0014	3	1	2026-07-30T22:43:44	/gpfs/data/oermannlab/users/steelr04/min_dinov3_paperhp/logs/cifar-100__dinov3_vitl16__paperhp__s7.log
